TestName,AMDRyzen5800x-mean_time,AMDRyzen5800x-SEM,AMDRyzen5800XCO-mean_time,AMDRyzen5800XCO-SEM,AMDTurin-mean_time,AMDTurin-SEM,AMDTurinCO-mean_time,AMDTurinCO-SEM,ARM4-mean_time,ARM4-SEM,ARM4CO-mean_time,ARM4CO-SEM,ARM1-mean_time,ARM1-SEM,ARM1CO-mean_time,ARM1CO-SEM,IntelXeon-mean_time,IntelXeon-SEM,IntelXeonCO-mean_time,IntelXeonCO-SEM
Test3/ifx_w_lu8.x,7.22500,0.23612,7.12500,0.13487,3.73400,0.02523,3.43800,0.02317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.08600,0.04139,6.86700,0.02293
Test3/gpp.x,8.44600,0.04249,8.53500,0.05261,5.55300,0.02786,5.53200,0.02125,6.47800,0.12613,6.19200,0.04991,13.39600,0.21275,13.32400,0.16719,9.23300,0.04157,12.33800,0.02947
Test3/gpp_o3.x,8.54200,0.06997,8.40700,0.05598,18.91000,0.01416,8.22700,0.01132,7.14500,0.18740,6.20500,0.02116,13.60400,0.18611,13.48200,0.21917,14.45200,0.04455,10.61500,0.02547
Test3/gpp_w_lu2.x,8.42000,0.02986,8.51100,0.04987,5.51700,0.02228,5.47800,0.00982,11.44300,0.09455,9.28700,0.05055,16.07600,0.18925,16.50500,0.20405,9.26500,0.03657,11.90400,0.03059
Test3/gpp_w_lu2_o3.x,8.42100,0.03540,8.60900,0.06461,5.46900,0.01578,5.51400,0.01939,11.45600,0.12506,9.37500,0.03570,16.96100,0.17735,16.85900,0.20566,9.14600,0.04592,11.90800,0.02698
Test3/gpp_w_lu4.x,8.47100,0.05737,8.56500,0.07166,5.50500,0.02171,5.53400,0.02316,10.45700,0.14224,8.58500,0.06187,17.06400,0.20262,16.60700,0.20033,9.07200,0.05700,11.84900,0.01993
Test3/gpp_w_lu8.x,8.38600,0.03333,8.47700,0.05101,5.52000,0.02518,5.56800,0.02568,10.09100,0.17126,8.77400,0.01824,16.98900,0.21660,16.81800,0.27648,9.35200,0.06822,11.87600,0.02113
Test3/icx.x,7.35000,0.04223,6.98300,0.07400,3.58900,0.03002,3.48800,0.03217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.74200,0.03493,6.89000,0.02055
Test3/icx_o3.x,7.42400,0.08820,7.00600,0.07108,3.56900,0.03233,3.45800,0.03989,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.59400,0.04665,6.86700,0.02225
Test3/icx_w_lu2.x,7.26300,0.03809,6.94900,0.06005,3.63500,0.03426,3.41100,0.03244,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.71300,0.03561,6.84000,0.01767
Test3/icx_w_lu2_o3.x,7.31700,0.04044,7.04900,0.07254,3.51200,0.02599,3.46200,0.03545,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.63800,0.03599,6.84400,0.01838
Test3/icx_w_lu4.x,7.48600,0.05196,6.94800,0.07054,3.54500,0.02750,3.55100,0.03315,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.67800,0.02918,6.86500,0.01979
Test3/icx_w_lu8.x,8.56000,0.04334,9.93200,0.04376,5.53300,0.02316,3.52000,0.03538,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.14600,0.03326,11.90000,0.02379
Test3/clang.x,0.00000,0.00000,0.00000,0.00000,5.54200,0.02434,10.88400,0.01134,8.37100,0.11531,6.17600,0.03071,0.00000,0.00000,0.00000,0.00000,8.34200,0.04631,11.34500,0.02289
Test3/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.54800,0.02813,10.85200,0.01138,7.01200,0.12945,6.19200,0.01416,0.00000,0.00000,0.00000,0.00000,8.33700,0.04697,11.35700,0.02511
Test3/clang_w_lu2.x,0.00000,0.00000,0.00000,0.00000,5.52400,0.02589,10.86300,0.01330,11.23500,0.14645,9.19500,0.05035,0.00000,0.00000,0.00000,0.00000,8.73600,0.03917,11.26900,0.01546
Test3/clang_w_lu2_o3.x,0.00000,0.00000,0.00000,0.00000,5.47200,0.01350,10.83900,0.01114,10.67600,0.16112,9.28500,0.01953,0.00000,0.00000,0.00000,0.00000,8.81200,0.02363,11.29500,0.01613
Test3/clang_w_lu4.x,0.00000,0.00000,0.00000,0.00000,5.49900,0.01984,10.85700,0.01060,9.97900,0.19885,8.58000,0.04477,0.00000,0.00000,0.00000,0.00000,8.38500,0.05750,11.33000,0.01572
Test3/clang_w_lu8.x,0.00000,0.00000,0.00000,0.00000,5.53600,0.02435,10.86300,0.01164,10.33400,0.17369,8.77800,0.02969,0.00000,0.00000,0.00000,0.00000,8.37500,0.04338,11.38000,0.02884
Test4/gfortran.x,7.03700,0.02365,7.11200,0.03743,5.40900,0.00484,5.40200,0.00421,7.27100,0.06190,6.88000,0.05635,12.18000,0.12002,12.35600,0.11738,6.64000,0.02128,6.55400,0.00988
